breed,date,rank,
bassetHound,2019,11,
bassetHound,2018,11,
bassetHound,2017,11,
bassetHound,2016,11,
bassetHound,2015,11,
bassetHound,2014,11,
bassetHound,2013,11,
bassetHound,2012,11,
bassetHound,2011,11,
bassetHound,2010,11,
bassetHound,2009,11,
bassetHound,2008,11,
bassetHound,2007,11,
bassetHound,2006,11,
bassetHound,2005,11,
bassetHound,2004,11,
bassetHound,2003,11,
bassetHound,2002,11,
bassetHound,2001,11,
bassetHound,2000,11,
bassetHound,1999,11,
bassetHound,1998,11,
bassetHound,1997,11,
bassetHound,1996,11,
bassetHound,1995,11,
bassetHound,1994,11,
bassetHound,1993,11,
bassetHound,1992,11,
bassetHound,1991,11,
bassetHound,1990,11,
bassetHound,1989,11,
bassetHound,1988,11,
bassetHound,1987,11,
bassetHound,1986,11,
bassetHound,1985,11,
bassetHound,1984,11,
bassetHound,1983,11,
bassetHound,1982,11,
bassetHound,1981,11,
bassetHound,1980,11,
bassetHound,1979,11,
bassetHound,1978,11,
bassetHound,1977,11,
bassetHound,1976,11,
bassetHound,1975,11,
bassetHound,1974,11,
bassetHound,1973,11,
bassetHound,1972,11,
bassetHound,1971,11,
bassetHound,1970,11,
bassetHound,1969,11,
bassetHound,1968,11,
bassetHound,1967,10,
bassetHound,1966,10,
bassetHound,1965,11,
bassetHound,1964,10,
bassetHound,1963,11,
bassetHound,1962,11,
bassetHound,1961,11,
bassetHound,1960,11,
bassetHound,1959,11,
bassetHound,1958,11,
bassetHound,1957,11,
bassetHound,1956,11,
bassetHound,1955,11,
bassetHound,1954,11,
bassetHound,1953,11,
bassetHound,1952,11,
bassetHound,1951,11,
bassetHound,1950,11,
bassetHound,1949,11,
bassetHound,1948,11,
bassetHound,1947,11,
bassetHound,1946,11,
beagle,2019,7,
beagle,2018,6,
beagle,2017,6,
beagle,2016,5,
beagle,2015,5,
beagle,2014,5,
beagle,2013,4,
beagle,2012,3,
beagle,2011,3,
beagle,2010,4,
beagle,2009,5,
beagle,2008,5,
beagle,2007,5,
beagle,2006,5,
beagle,2005,5,
beagle,2004,4,
beagle,2003,3,
beagle,2002,4,
beagle,2001,5,
beagle,2000,5,
beagle,1999,5,
beagle,1998,6,
beagle,1997,6,
beagle,1996,5,
beagle,1995,5,
beagle,1994,7,
beagle,1993,7,
beagle,1992,7,
beagle,1991,7,
beagle,1990,9,
beagle,1989,9,
beagle,1988,8,
beagle,1987,7,
beagle,1986,7,
beagle,1985,7,
beagle,1984,7,
beagle,1983,7,
beagle,1982,8,
beagle,1981,8,
beagle,1980,7,
beagle,1979,7,
beagle,1978,6,
beagle,1977,7,
beagle,1976,6,
beagle,1975,5,
beagle,1974,4,
beagle,1973,4,
beagle,1972,3,
beagle,1971,3,
beagle,1970,4,
beagle,1969,4,
beagle,1968,4,
beagle,1967,3,
beagle,1966,3,
beagle,1965,3,
beagle,1964,3,
beagle,1963,3,
beagle,1962,2,
beagle,1961,2,
beagle,1960,2,
beagle,1959,1,
beagle,1958,1,
beagle,1957,1,
beagle,1956,1,
beagle,1955,1,
beagle,1954,1,
beagle,1953,1,
beagle,1952,2,
beagle,1951,2,
beagle,1950,2,
beagle,1949,2,
beagle,1948,2,
beagle,1947,2,
beagle,1946,2,
bostonTerrier,2019,11,
bostonTerrier,2018,11,
bostonTerrier,2017,11,
bostonTerrier,2016,11,
bostonTerrier,2015,11,
bostonTerrier,2014,11,
bostonTerrier,2013,11,
bostonTerrier,2012,11,
bostonTerrier,2011,11,
bostonTerrier,2010,11,
bostonTerrier,2009,11,
bostonTerrier,2008,11,
bostonTerrier,2007,11,
bostonTerrier,2006,11,
bostonTerrier,2005,11,
bostonTerrier,2004,11,
bostonTerrier,2003,11,
bostonTerrier,2002,11,
bostonTerrier,2001,11,
bostonTerrier,2000,11,
bostonTerrier,1999,11,
bostonTerrier,1998,11,
bostonTerrier,1997,11,
bostonTerrier,1996,11,
bostonTerrier,1995,11,
bostonTerrier,1994,11,
bostonTerrier,1993,11,
bostonTerrier,1992,11,
bostonTerrier,1991,11,
bostonTerrier,1990,11,
bostonTerrier,1989,11,
bostonTerrier,1988,11,
bostonTerrier,1987,11,
bostonTerrier,1986,11,
bostonTerrier,1985,11,
bostonTerrier,1984,11,
bostonTerrier,1983,11,
bostonTerrier,1982,11,
bostonTerrier,1981,11,
bostonTerrier,1980,11,
bostonTerrier,1979,11,
bostonTerrier,1978,11,
bostonTerrier,1977,11,
bostonTerrier,1976,11,
bostonTerrier,1975,11,
bostonTerrier,1974,11,
bostonTerrier,1973,11,
bostonTerrier,1972,11,
bostonTerrier,1971,11,
bostonTerrier,1970,11,
bostonTerrier,1969,11,
bostonTerrier,1968,11,
bostonTerrier,1967,11,
bostonTerrier,1966,11,
bostonTerrier,1965,11,
bostonTerrier,1964,11,
bostonTerrier,1963,10,
bostonTerrier,1962,10,
bostonTerrier,1961,11,
bostonTerrier,1960,10,
bostonTerrier,1959,10,
bostonTerrier,1958,10,
bostonTerrier,1957,10,
bostonTerrier,1956,9,
bostonTerrier,1955,9,
bostonTerrier,1954,8,
bostonTerrier,1953,8,
bostonTerrier,1952,7,
bostonTerrier,1951,6,
bostonTerrier,1950,6,
bostonTerrier,1949,5,
bostonTerrier,1948,5,
bostonTerrier,1947,4,
bostonTerrier,1946,3,
boxer,2019,11,
boxer,2018,10,
boxer,2017,11,
boxer,2016,10,
boxer,2015,10,
boxer,2014,8,
boxer,2013,7,
boxer,2012,7,
boxer,2011,7,
boxer,2010,7,
boxer,2009,6,
boxer,2008,6,
boxer,2007,6,
boxer,2006,7,
boxer,2005,7,
boxer,2004,7,
boxer,2003,7,
boxer,2002,7,
boxer,2001,8,
boxer,2000,9,
boxer,1999,10,
boxer,1998,11,
boxer,1997,11,
boxer,1996,11,
boxer,1995,11,
boxer,1994,11,
boxer,1993,11,
boxer,1992,11,
boxer,1991,11,
boxer,1990,11,
boxer,1989,11,
boxer,1988,11,
boxer,1987,11,
boxer,1986,11,
boxer,1985,11,
boxer,1984,11,
boxer,1983,11,
boxer,1982,11,
boxer,1981,11,
boxer,1980,11,
boxer,1979,11,
boxer,1978,11,
boxer,1977,11,
boxer,1976,11,
boxer,1975,11,
boxer,1974,11,
boxer,1973,11,
boxer,1972,11,
boxer,1971,11,
boxer,1970,11,
boxer,1969,11,
boxer,1968,11,
boxer,1967,11,
boxer,1966,11,
boxer,1965,11,
boxer,1964,11,
boxer,1963,11,
boxer,1962,11,
boxer,1961,10,
boxer,1960,9,
boxer,1959,7,
boxer,1958,6,
boxer,1957,4,
boxer,1956,2,
boxer,1955,2,
boxer,1954,2,
boxer,1953,3,
boxer,1952,3,
boxer,1951,3,
boxer,1950,3,
boxer,1949,4,
boxer,1948,4,
boxer,1947,5,
boxer,1946,5,
bulldog,2019,5,
bulldog,2018,5,
bulldog,2017,5,
bulldog,2016,4,
bulldog,2015,4,
bulldog,2014,4,
bulldog,2013,5,
bulldog,2012,6,
bulldog,2011,6,
bulldog,2010,6,
bulldog,2009,7,
bulldog,2008,8,
bulldog,2007,10,
bulldog,2006,11,
bulldog,2005,11,
bulldog,2004,11,
bulldog,2003,11,
bulldog,2002,11,
bulldog,2001,11,
bulldog,2000,11,
bulldog,1999,11,
bulldog,1998,11,
bulldog,1997,11,
bulldog,1996,11,
bulldog,1995,11,
bulldog,1994,11,
bulldog,1993,11,
bulldog,1992,11,
bulldog,1991,11,
bulldog,1990,11,
bulldog,1989,11,
bulldog,1988,11,
bulldog,1987,11,
bulldog,1986,11,
bulldog,1985,11,
bulldog,1984,11,
bulldog,1983,11,
bulldog,1982,11,
bulldog,1981,11,
bulldog,1980,11,
bulldog,1979,11,
bulldog,1978,11,
bulldog,1977,11,
bulldog,1976,11,
bulldog,1975,11,
bulldog,1974,11,
bulldog,1973,11,
bulldog,1972,11,
bulldog,1971,11,
bulldog,1970,11,
bulldog,1969,11,
bulldog,1968,11,
bulldog,1967,11,
bulldog,1966,11,
bulldog,1965,11,
bulldog,1964,11,
bulldog,1963,11,
bulldog,1962,11,
bulldog,1961,11,
bulldog,1960,11,
bulldog,1959,11,
bulldog,1958,11,
bulldog,1957,11,
bulldog,1956,11,
bulldog,1955,11,
bulldog,1954,11,
bulldog,1953,11,
bulldog,1952,11,
bulldog,1951,11,
bulldog,1950,11,
bulldog,1949,11,
bulldog,1948,11,
bulldog,1947,11,
bulldog,1946,11,
chihuahua,2019,11,
chihuahua,2018,11,
